樣品編號,食品分類,樣品名稱,修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),總碳水化合物(g),膳食纖維(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),維生素A總量(IU),維生素E總量(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素C(mg)
C1610101,堅果及種子類,白芝麻(熟),603,1.9,20.3,58.7,15.7,10.7,24,506,76,415,6.3,7.3,2,16.66,0.36,0.12,5.52,0.61,0.0
C1610201,堅果及種子類,黑芝麻(熟),571,1.5,17.3,54.4,20.6,14.0,2,526,1479,386,10.3,5.4,5,22.69,0.21,0.36,5.34,0.49,0.0
C1620101,堅果及種子類,黑芝麻粉,576,2.2,15.7,55.2,20.8,12.3,3,471,1449,357,8.6,5.7,0,24.62,0.24,0.21,6.06,0.56,0.0
C1700101,堅果及種子類,帶殼花生(生鮮),314,43.7,15.3,27.2,12.2,8.1,1,473,43,130,2.0,2.4,0,5.37,0.94,0.10,2.69,0.37,7.6
C1700201,堅果及種子類,冷凍帶殼花生(熟),344,40,17.2,27.4,13.3,0,363,247,52,175,1.4,2.4,13,7.70,0.03,0.11,7.89,0.99,0.0
C1705101,堅果及種子類,生鮮花生仁,478,9.9,28.8,38.5,20.6,13.5,32,933,36,221,3.5,3.4,3,8.24,1.26,0.09,3.52,0.23,1.3
C1705201,堅果及種子類,去膜花生仁(生),544,4.2,28.8,45.4,19.1,6.6,2,660,50,216,2.2,3.9,0,14.60,0.37,0.08,15.87,0.50,0.0
C1705301,堅果及種子類,帶膜花生仁(生),500,7.5,23.6,38.1,28.4,7.9,13,671,91,217,3.5,4.7,0,15.09,1.07,0.06,14.10,0.45,0.8
C1710101,堅果及種子類,紅土帶殼花生(熟),530,1.8,30.9,42.2,21.1,7.7,632,550,91,249,22.2,3.9,4,9.14,0.59,0.07,9.36,0.83,0.0
C1710201,堅果及種子類,鹽酥帶殼花生(熟),513,2.3,28.2,38.1,28.1,9.0,319,681,78,251,2.7,3.5,0,4.01,0.58,0.15,15.43,0.35,0.0
C1720101,堅果及種子類,花生粉,506,1.9,28.5,33.8,33.0,4.9,11,940,115,254,6.8,4.0,0,0,0.54,0.03,12.32,1.57,0.0
C1750101,堅果及種子類,醃漬花生仁,288,58.2,10.6,26.0,2.9,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0.02,0.0
C1750201,堅果及種子類,糖漬花生仁,373,32.8,14.2,23.3,28.8,4.1,37,107,43,130,1.3,1.9,0,5.78,0.01,0.40,2.14,0.15,0.1
C1750301,堅果及種子類,油炸花生仁,609,1.8,28.9,48.4,18.0,7.0,430,535,73,246,1.6,4.2,2,8.81,0.23,0.09,13.81,0.68,2.0
C1750401,堅果及種子類,蛋酥花生仁,592,1.3,21.1,43.8,31.8,7.3,45,464,56,153,0.5,3.0,3,6.67,0.28,0.07,10.72,0.75,3.9
C1750501,堅果及種子類,鹽酥花生仁,537,2.1,28.8,35.9,29.6,9.9,454,774,76,251,5.7,4.0,0,12.35,0.46,0.13,18.18,0.44,0.0
C1800101,堅果及種子類,芡實,336,14.1,9.9,0.1,75.4,3.1,0,80,7,11,1.2,0.8,0,68.32,0.03,0.10,0.99,0.18,0.0
C1910101,堅果及種子類,調味南瓜子(去殼),544,2.8,30.4,47.9,13.5,8.3,183,920,53,633,8.5,9.4,68,20.01,0.23,0.19,4.73,0.20,0.0
C1910201,堅果及種子類,調味南瓜子(帶殼),552,2.6,25.9,47.2,19.5,6.1,395,639,49,516,10.5,8.0,13,12.14,0.15,0.12,4.89,0.28,0.0
C2005101,堅果及種子類,愛玉子,300,7.8,12.2,12.5,63.7,51.6,6,729,714,208,8.2,2.7,46,35.39,0.12,0.12,1.01,2.82,0.0
C2110101,堅果及種子類,原味葵瓜子(去殼),569,4.0,22.0,51.9,18.7,8.3,1,821,90,396,6.0,6.2,23,42.34,1.71,0.26,10.84,1.50,0.0
C2110201,堅果及種子類,甘草葵瓜子(帶殼),486,3.2,26.8,39.3,25.8,19.7,637,536,45,445,8.6,7.4,0,35.50,0.92,0.22,7.08,1.26,1.2
C2110202,堅果及種子類,鹽酥葵瓜子(帶殼),558,2.5,25.9,49.3,17.8,8.1,668,619,140,464,7.4,7.1,40,33.68,1.55,0.20,7.76,0.29,0.0
C2200101,堅果及種子類,銀杏果,136,65.0,4.1,1.2,28.9,3.2,14,246,11,24,0.5,0.3,131,1.34,0.01,0.04,0.33,0.26,0.1
C2300101,堅果及種子類,生鮮蓮子,124,63.2,9.3,0.5,25.6,8.0,119,305,69,99,5.1,1.2,0,0.59,0.05,0.02,0.40,0.07,2.3
C2305101,堅果及種子類,生蓮子,307,12.0,21.8,1.2,60.9,13.1,305,714,129,203,2.2,2.4,0,1.83,0.14,0.07,2.05,0.36,0.0
C2350101,堅果及種子類,糖漬蓮子,223,41.9,5.7,0.1,51.4,3.3,11,155,54,72,1.1,1.0,0,0.89,0.01,0.11,0.47,0.11,0.4
C2405101,堅果及種子類,鷹嘴豆(大),338,11.0,19.4,5.8,61.0,12.4,8,1096,95,117,5.0,2.0,21,9.12,0.38,0.12,1.87,0.55,0.0
C2405102,堅果及種子類,鷹嘴豆(小),197,11.0,4.7,0.5,82.1,75.8,58,586,118,78,9.1,0.7,0,0.11,0.03,0.05,1.75,0.27,0.0
D0100101,水果類,山竹,67,80.8,0.6,0.3,18.1,1.6,3,82,11,20,0.1,0.2,58,1.10,0.06,0.05,0.40,0.09,2.9
D02001,水果類,木瓜平均值,36,89.1,0.6,0.1,9.9,1.4,3,186,23,15,0.3,0.2,665,0.30,0.03,0.03,0.45,0.09,58.3
D0200101,水果類,木瓜(2月取樣),29,91.0,0.7,0.1,7.7,1.6,2,204,16,16,0.4,0.2,120,0.29,0.03,0.03,0.18,0.03,43.8
D0200102,水果類,木瓜(5月取樣),41,87.4,0.7,0.1,11.3,1.5,4,209,39,16,0.1,0.1,1883,0.31,0.03,0.04,0,0.08,79.1
D0200103,水果類,木瓜(8月取樣),31,90.3,0.5,0,8.8,1.4,3,186,22,14,0.1,0.3,266,0.40,0.03,0.03,0.47,0.24,48.2
D0200104,水果類,木瓜(11月取樣),42,87.5,0.4,0.1,11.8,1.1,5,146,13,15,0.5,0.2,391,0.20,0.04,0.03,1.16,0.03,61.9
D0200201,水果類,青木瓜,25,91.7,0.6,0.1,7.2,2.4,5,139,31,19,0.2,0.1,8,0.39,0.02,0.03,0.43,0.04,25.3
D0300101,水果類,安石榴,60,80.7,1.7,0.1,16.8,4.6,8,200,15,15,0.4,0.4,13,0,0.01,0.04,0.20,0,15.0
D0400101,水果類,百香果,58,84.0,2.2,2.4,10.7,5.3,2,200,5,27,0.7,0.7,1617,0,0,0.10,0.90,0,32.0
D0430101,水果類,百香果汁,73,79.6,0.9,0.4,18.6,0.2,1,239,5,16,0.6,0.6,343,0.41,0,0.11,0.16,0.31,18.5
D0500101,水果類,金黃奇異果,57,83.3,0.8,0.3,15.0,1.4,2,252,22,11,0.2,0.2,67,2.24,0.02,0.04,0.28,0.28,90.1
D0500201,水果類,奇異果,52,84.0,1.1,0.3,14.0,2.7,3,291,28,12,0.3,0.2,110,1.69,0.01,0.03,0.18,0.14,73.0
D0600101,水果類,紅毛丹,71,80,1.0,0.7,17.9,1.5,8,152,16,14,0.5,0.4,2,0,0.01,0.04,0.33,0.11,32.9
D0700101,水果類,紅龍果(白肉),49,85.7,0.9,0.4,12.4,1.7,0,226,4,28,0.4,0.4,1,0.26,0.02,0.04,0.13,0.05,5.3
D0700201,水果類,紅龍果(紅肉),48,85.8,1.1,0.2,12.3,1.3,0,219,9,24,0.8,0.5,0,0.27,0.03,0.04,0.11,0.02,6.3
D08001,水果類,北蕉平均值,82,75.7,1.5,0.1,22.1,1.6,0,368,5,24,0.4,0.5,3,0.30,0.05,0.05,0.24,0.44,10.7
D0800101,水果類,北蕉(2月取樣),90,73.4,1.3,0,24.6,2.0,0,357,3,18,0.5,0.8,0,0.29,0.05,0.04,0,0.44,10.5
D0800102,水果類,北蕉(5月取樣),89,73.9,1.6,0.2,23.7,1.8,0,346,3,26,0.2,0.1,13,0.27,0.05,0.06,0.20,0.40,6.7
D0800103,水果類,北蕉(9月取樣),63,81.4,1.3,0,16.6,1.2,0,304,10,23,0.2,0.6,0,0.29,0.06,0.05,0.53,0.39,8.1
D0800104,水果類,北蕉(11月取樣),88,74.2,1.6,0.1,23.4,1.5,0,463,3,27,0.6,0.3,0,0.34,0.06,0.05,0.22,0.52,17.3
D0800201,水果類,"北蕉(0天,綠皮)",87,74.4,1.3,0.3,23.3,2.0,0,363,4,28,0.4,0.3,44,0.34,0.06,0.03,0.27,0.45,11.5
D0800301,水果類,北蕉(1天),84,75.4,1.4,0.3,22.2,1.7,0,349,4,29,0.4,0.2,46,0.35,0.06,0.04,0.35,0.54,6.4
D0800401,水果類,北蕉(3天),81,76.4,1.4,0.3,21.3,1.7,0,321,4,27,0.3,2.7,0,0.54,0.05,0.04,0.35,0.56,4.8
D0800501,水果類,北蕉(7天),65,80.7,1.3,0.2,17.1,1.6,0,303,5,25,0.3,2.2,0,0.58,0.05,0.04,0.25,0.54,4.3
D0800601,水果類,李林蕉,98,71.0,1.4,0.3,26.3,2.6,0,395,21,35,0.3,0.9,0,0.19,0.04,0.05,0.37,0.42,12.0
D0800701,水果類,南華蕉,119,64.8,1.1,0.1,33.2,2.9,0,305,7,37,0.2,0.3,3,0.15,0.04,0.02,1.53,0.21,24.5
D0800801,水果類,紅皮蕉,93,72.1,1.3,0.2,25.5,2.7,1,371,10,45,0.4,0.1,334,0.14,0.04,0.03,0.32,0.35,10.3
D0800901,水果類,美人蕉,105,68.3,1.5,0.1,29.2,3.3,1,386,17,58,0.4,0.3,78,0.29,0.05,0.06,0.67,0.27,8.3
D0801001,水果類,蘋果蕉,90,73.4,1.3,0.3,24.0,2.1,0,376,8,34,0,0.4,0,0.26,0.06,0.05,1.37,0.62,6.6
D0900101,水果類,酪梨(綠皮),60,86.1,1.6,3.7,7.9,3.4,2,251,6,19,0.3,0.7,424,1.38,0.05,0.10,1.50,0.23,9.9
D0900201,水果類,酪梨(室溫存放0天),73,85.0,1.5,5.9,7.1,4.2,0,291,3,20,0,0.5,142,1.39,0.06,0.18,1.10,0.39,20.2
