樣品編號,食品分類,樣品名稱,修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),總碳水化合物(g),膳食纖維(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),維生素A總量(IU),維生素E總量(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素C(mg)
J04010,魚貝類,虱目魚平均值(去皮),179,67.4,21.8,9.5,0.2,0,41,350,16,33,0.6,0.8,147,1.11,0.16,0.03,6.65,0.57,1.0
J0401001,魚貝類,虱目魚(2月),180,67.3,19.8,10.6,1.3,0,44,311,21,31,0.6,1.3,247,1.09,0.01,0.04,6.71,0.62,1.2
J0401002,魚貝類,虱目魚(5月),189,66.6,22.3,10.4,0,0,27,368,9,36,1.3,0.7,159,1.24,0.08,0.03,8.19,0.52,1.0
J0401003,魚貝類,虱目魚(8月),124,72.1,23.7,2.6,0.5,0,42,354,13,34,0.6,0.5,16,0.61,0.17,0.04,6.38,0.64,1.2
J0401004,魚貝類,虱目魚(9月),208,64.9,22.0,12.7,0,0,41,366,12,33,0.1,0.7,200,1.52,0.36,0.03,5.38,0.50,1.2
J0401005,魚貝類,虱目魚(12月),192,66.2,21.4,11.2,0.1,0,53,352,27,32,0.4,0.7,112,1.10,0.17,0.02,6.57,0.57,0.3
J0401101,魚貝類,虱目魚(含皮),200,66.0,21.8,11.9,0,0,96,213,16,36,0.7,0.9,210,0.84,0.02,0.12,6.50,0.31,1.2
J0401201,魚貝類,虱目魚腹肉(虱目魚肚),342,56.3,17.4,29.6,0,0,47,281,6,22,1.1,0.7,308,1.50,0.02,0.09,5.15,0.50,0.4
J0401301,魚貝類,草魚切片,166,67.2,21.4,8.3,2.1,0,53,335,10,29,0.5,0.5,46,0.55,0.01,0.05,2.59,0.16,0.8
J0401401,魚貝類,草魚(含皮),91,78.8,17.2,2.0,0.8,0,37,376,63,24,0.7,0.7,40,0.40,0.01,0.06,0.30,0.17,0.4
J0401501,魚貝類,鯉,91,79.1,14.5,3.2,2.1,0,38,333,21,22,1.2,0.7,33,0.49,0.01,0.08,0.40,0.20,0.0
J0401601,魚貝類,鱅,145,74.2,18.7,7.2,0,0,24,345,37,25,0.6,0.5,23,1.40,0,0.03,2.70,0.15,0
J0401701,魚貝類,鬍鯰,194,68.9,16.3,13.8,0,0,37,380,4,27,1.1,0.8,1073,0.31,0,0.22,3.20,0.20,0.4
J0401801,魚貝類,斑海鯰,86,79.6,19.2,0.5,0,0,115,322,5,30,1.3,0.8,30,0.64,0.20,0.06,3.33,0.31,6.4
J0401901,魚貝類,長體油胡瓜魚,104,79.8,15.0,4.4,0,0,104,175,246,28,0,2.1,194,1.44,0.01,0.25,1.25,0.11,1.5
J0402001,魚貝類,香魚,147,75.1,18.5,7.5,0,0,53,311,27,24,0.6,0.9,460,5.06,0.13,0.06,3.42,0.27,2.5
J0402101,魚貝類,銀魚,69,82.7,14.3,0.9,0.9,0,56,85,274,289,0,1.1,141,2.10,0.05,0.06,0.62,0.07,0.1
J0402201,魚貝類,白肉鮭魚切片,151,69.7,22.6,6.1,0.3,0,53,410,38,23,0.7,0.7,23,0.26,0.22,0.12,8.24,0.55,0.0
J0402301,魚貝類,紅肉鮭魚切片,158,69.6,24.3,6.0,0,0,72,440,8,34,0,1.1,205,1.12,0.22,0.18,6.80,0.78,2.7
J04024,魚貝類,大西洋鮭魚平均值(去皮),221,66.1,20.2,14.9,0,0,45,335,6,26,0.1,0.7,68,2.74,0.21,0.13,6.01,0.62,2.1
J0402401,魚貝類,大西洋鮭魚(台灣養殖),155,71.9,23.6,6.0,0,0,45,390,9,27,0,0.8,111,2.40,0.14,0.14,4.82,0.53,2.1
J0402402,魚貝類,大西洋鮭魚切片(中段),174,70,20.7,9.5,0,0,39,356,6,26,0,0.7,38,2.22,0.19,0.14,5.85,0.82,2.0
J0402403,魚貝類,大西洋鮭魚切片(尾段),204,67.7,20.7,12.8,0,0,61,353,7,28,0,0.6,54,3.28,0.30,0.13,5.66,0.65,3.6
J0402404,魚貝類,大西洋鮭魚生魚片,222,67.3,19.6,15.3,0,0,36,393,6,27,0,0.8,57,2.58,0.24,0.13,5.85,0.79,2.8
J0402405,魚貝類,大西洋鮭魚腹肉,349,53.5,16.4,31.0,0,0,42,183,4,22,0.3,0.7,79,3.23,0.18,0.12,7.86,0.33,0.1
J0402501,魚貝類,麥奇鈎吻鮭(去皮),160,71.1,20.9,7.8,0,0,48,405,7,20,0.9,1.3,181,2.56,0.15,0.07,5.81,0.41,1.7
J0402601,魚貝類,麥奇鈎吻鮭(含皮),147,71.3,20.1,6.8,0.4,0,23,387,44,30,0.4,0.6,147,3.15,0.22,0.06,1.00,0.57,0.7
J0402701,魚貝類,姬魚,104,76.7,24.1,0.2,0,0,88,353,87,38,1.0,0.4,33,0.44,0.05,0.02,3.25,0.29,5.1
J0402801,魚貝類,印度鐮齒魚,49,87.8,10.4,0.5,0.4,0,192,160,15,110,0.7,0.4,72,0,0.04,0.03,0.58,0.01,0.8
J0402901,魚貝類,狗母魚(蛇鯔),103,76.1,20.8,1.6,0.1,0,60,451,5,33,0.3,0.5,9,0.20,0.11,0.08,4.01,0.27,0.8
J0403001,魚貝類,鮟鱇,68,83.0,14.9,0.5,0.6,0,117,302,8,26,0.4,0.5,0,0.40,0.01,0.05,1.77,0.16,0.7
J04031,魚貝類,鯔平均值(去皮),152,70.9,20.6,7.1,0.3,0,50,377,9,29,1.3,0.5,17,1.09,0.01,0.11,5.61,0.32,2.1
J0403101,魚貝類,鯔(2月),137,71.4,20.4,5.5,1.6,0,42,352,13,31,0.9,1.2,34,0.99,0.01,0.09,5.01,0.35,2.3
J0403102,魚貝類,鯔(4月),133,72.6,20.4,5.0,0.9,0,43,351,8,25,1.1,0.4,9,0.94,0.01,0.11,6.28,0.34,1.6
J0403103,魚貝類,鯔(8月),224,65.4,17.3,16.7,0,0,73,298,14,26,0.4,0.9,29,2.29,0.03,0.09,3.75,0.30,1.3
J0403104,魚貝類,"鯔(11月,雄魚)",129,73.8,21.3,4.2,0,0,63,446,8,35,1.0,0,20,0.67,0.01,0.12,6.17,0.37,2.4
J0403105,魚貝類,"鯔(11月,雌魚)",141,72.9,21.5,5.5,0,0,57,418,7,31,0.8,0.4,17,0.99,0.01,0.05,3.75,0.31,1.9
J0403106,魚貝類,"鯔(12月,雄魚)",137,71.6,21.1,5.2,0.9,0,59,360,9,28,2.4,0.5,8,1.40,0.01,0.13,7.46,0.33,0.9
J0403107,魚貝類,"鯔(12月,雌魚)",149,70.6,21.8,6.2,0.2,0,37,398,7,27,2.5,0.5,0,0.50,0.01,0.13,5.92,0.27,0.7
J0403108,魚貝類,鯔切片,170,69.2,21.2,8.8,0,0,27,393,8,30,1.0,0.4,16,0.95,0.03,0.15,6.59,0.32,5.8
J0403201,魚貝類,鯔(含皮),155,71.6,20.6,7.4,0,0,49,394,7,30,1.2,0.6,25,1.58,0.05,0.19,4.36,0.36,5.0
J0403301,魚貝類,斑鰭飛魚,94,76.5,22.0,0.1,0.2,0,54,429,12,36,0.7,0.7,0,1.15,0.01,0.09,5.72,0.31,2.6
J0403401,魚貝類,斑鱵,91,77.7,20.6,0.3,0.3,0,79,276,31,32,0.4,1.2,6,0.03,0,0.05,4.06,0.51,2.7
J0403501,魚貝類,鱷形叉尾鶴鱵,98,75.9,22.4,0.3,0.2,0,64,457,304,36,0.6,1.3,5,0.82,0,0.10,5.50,0.54,0.3
J0403601,魚貝類,金鱗魚,85,78.0,19.5,0.2,1.3,0,61,337,7,31,0.5,0.8,69,0.11,0.04,0.03,2.01,0.25,5.3
J0403701,魚貝類,鱗馬鞭魚,84,81.3,18.5,0.5,0,0,121,210,11,26,0.2,0.4,35,0.18,0.01,0.04,2.34,0.34,0.6
J0403801,魚貝類,黃鱔,88,78.7,17.6,1.4,1.0,0,55,273,39,21,4.0,1.9,79,1.14,0.07,1.73,3.83,0.17,2.0
J0403901,魚貝類,石狗公,80,81.1,18.3,0.2,0,0,67,330,26,30,0.2,0.4,12,0.61,0.08,0.03,2.34,0.13,0.0
J0404001,魚貝類,環紋簑鮋,79,80.8,18.4,0.1,0,0,145,324,13,37,0.2,0.4,3,0.22,0.04,0.01,1.10,0.16,0.7
J0404101,魚貝類,深海鱗角魚,80,81.0,17.7,0.5,0,0,105,399,7,28,0.6,0.5,178,0.46,0.09,0.16,3.30,0.38,0.8
J0404201,魚貝類,尖嘴鱸(去皮),98,76.9,20.6,1.2,0.1,0,48,435,12,28,0.7,0.5,35,1.68,0.26,0.05,3.56,0.36,0.6
J0404301,魚貝類,尖嘴鱸(含皮),107,77.6,19.6,2.6,0,0,51,442,19,24,0.3,0.5,40,0.25,0.07,0.17,3.80,0.16,0.6
J04044,魚貝類,日本花鱸平均值,98,76.7,19.9,1.5,0.9,0,62,377,17,31,0.4,0.6,300,0.83,0.10,0.14,3.98,0.20,1.0
J0404401,魚貝類,日本花鱸(2月),95,75.9,20.1,1.0,1.9,0,44,350,14,33,0.5,0.9,334,0.81,0.15,0.13,3.72,0.24,0.5
J0404402,魚貝類,日本花鱸((3月),100,76.8,20,1.6,0.5,0,65,366,10,26,0.3,0.6,48,1.77,0.15,0.18,4.42,0.23,2.5
J0404403,魚貝類,日本花鱸((8月),95,76.9,19.0,1.6,1.5,0,57,361,7,29,0.4,0.5,758,0.64,0.04,0.13,4.24,0.28,1.0
J0404404,魚貝類,日本花鱸((11月),99,77.0,20.5,1.3,0.1,0,64,395,27,35,0.3,0.5,165,0.56,0.10,0.15,3.45,0.11,0.5
J0404405,魚貝類,日本花鱸((12月),101,76.9,19.6,1.9,0.4,0,78,414,25,33,0.4,0.6,196,0.38,0.06,0.12,4.05,0.12,0.7
J0404501,魚貝類,日本花鱸(含皮),125,75.8,19.2,4.8,0,0,55,396,3,23,0.3,0.4,40,0.44,0.08,0.12,2.30,0.11,0.0
J0404601,魚貝類,白鱸,76,79.8,17.7,0.1,1.0,0,55,432,4,27,0.6,0.4,20,0.71,0.01,0.07,0.70,0.40,0.0
J0404701,魚貝類,條紋狼鱸,147,73.6,21.4,6.2,0,0,69,295,17,24,1.3,0.9,12,1.89,0.08,0.09,3.96,0.22,1.4
J0404801,魚貝類,鱖,89,80.3,17.7,1.5,0,0,47,265,16,24,0,0.6,0,0.66,0.01,0.06,1.53,0.22,0.5
J0404901,魚貝類,白緣星鱠,101,78.2,19.9,1.8,0,0,70,370,13,27,0.2,0.3,0,0.24,0.05,0.03,1.10,0.13,0.2
J04050,魚貝類,青星九刺鮨平均值,94,78.0,20.9,0.5,0,0,46,471,6,32,0.2,0.4,21,0.40,0.02,0.04,2.98,0.22,0.5
J0405001,魚貝類,青星九刺鮨,83,78.8,19.3,0.1,0.5,0,47,515,4,34,0.3,0.4,23,0.49,0.01,0.04,2.00,0.21,0.9
J0405002,魚貝類,青星九刺鮨魚片,104,77.1,22.6,0.8,0,0,45,427,7,30,0,0.3,18,0.30,0.03,0.05,3.95,0.22,0.0
J0405101,魚貝類,斑帶石斑魚,90,79.6,20.2,0.5,0,0,91,309,19,25,0,0.5,9,0.37,0.04,0.09,1.40,0.14,1.2
J0405201,魚貝類,斑點九刺鮨(去皮),82,78.9,18.8,0.2,0.9,0,157,396,17,32,0,0.6,0,0.29,0.09,0.05,1.27,0.09,0.5
J0405301,魚貝類,斑點九刺鮨(含皮),84,79.9,19.4,0.1,0,0,59,371,6,29,0.5,0.4,3,0.05,0.03,0.02,1.21,0.09,1.3
J0405401,魚貝類,棕點石斑魚,115,76.9,19.1,3.7,0,0,79,409,13,29,0.9,0,21,1.28,0.20,0.26,2.46,0.17,0.7
J0405501,魚貝類,鞍帶石斑魚片,155,71.4,19.1,8.2,0.2,0,118,292,11,25,0.3,1.4,0,0.28,0.16,0.14,2.46,0.17,0.3
J0405601,魚貝類,駝背鱸,83,80.1,18.1,0.6,0,0,93,375,24,30,0.2,0.6,7,0.98,0.08,0.05,1.20,0.10,0.0
J0405701,魚貝類,橫紋九刺鮨,85,80.1,19.3,0.3,0,0,81,295,20,27,0,0.4,7,0.49,0.03,0.10,1.09,0.11,0.5
J0405801,魚貝類,大口黑鱸,130,75.4,20.7,4.6,0,0,101,362,17,30,1.2,0.8,87,1.74,0.23,0.08,2.65,0.17,2.4
J0405901,魚貝類,日本紅目大眼鯛,97,79.3,19.6,1.5,0,0,63,369,12,31,0.4,0.3,7,0.60,0.04,0.07,4.60,0.21,0.0
J0406001,魚貝類,血斑異大眼鯛,93,77.7,20.6,0.6,0,0,119,326,7,29,0.3,0.3,17,0.37,0.13,0.08,4.00,0.14,0.3
J0406101,魚貝類,多鱗沙鮻,90,78.2,18.6,1.2,0.6,0,96,291,54,33,0.3,0.6,37,0.60,0.06,0.05,1.40,0.11,1.8
J0406201,魚貝類,日本馬頭魚,85,79.6,18.7,0.6,0,0,86,394,9,31,0.3,0.5,28,0.52,0.03,0.05,1.25,0.07,0.8
J0406301,魚貝類,白馬頭魚,91,78.4,19.2,1.0,0.1,0,63,431,9,34,0.3,0.4,33,0.37,0.02,0.04,1.70,0.13,1.9
J0406401,魚貝類,鬼頭刀魚片,78,81.3,17.2,0.5,0,0,178,127,13,25,0.7,0.4,0,1.12,0.15,0.08,3.63,0.33,0.6
J0406501,魚貝類,鬼頭刀,107,76.0,21.8,1.5,0,0,55,474,6,29,0.7,0.3,13,0.84,0.22,0.11,6.40,0.21,0.0
J0406601,魚貝類,海鱺,106,77.4,20.4,2.1,0,0,131,323,6,31,0.3,0.5,13,0.32,0.12,0.10,5.30,0.09,0.6
J0406602,魚貝類,海鱺魚片,260,61.2,19.3,19.7,0,0,50,377,7,27,0,0.4,40,2.99,0.15,0.16,5.99,0.45,0.8
J0406701,魚貝類,大口逆鈎鰺,103,75.5,21.8,1.1,0.1,0,54,596,2,35,0.8,0.4,23,1.23,0.12,0.16,4.70,0.43,1.5
J0406801,魚貝類,大甲鰺,105,74.8,21.2,1.6,0.4,0,90,365,136,37,2.0,0.9,37,0.07,0.05,0.25,3.40,0.27,0.8
J0406901,魚貝類,日本竹筴魚,116,74.5,23.0,2.0,0,0,88,388,73,46,1.4,0.5,20,0.46,0.17,0.20,9.94,0.69,0.4
J0407001,魚貝類,布氏鯧鰺(去皮),192,67.2,20.3,11.7,0,0,49,325,21,25,0.6,1.2,713,9.73,0.08,0.25,5.14,0.45,0.8
J0407101,魚貝類,布氏鯧鰺(含皮),190,69.6,17.5,12.8,0,0,36,305,20,24,0.8,0.7,877,0.92,0,0.12,8.30,0.23,0.0
J0407201,魚貝類,杜氏鰤,115,74.1,21.9,2.4,0.2,0,41,452,7,34,0.8,0.5,33,0.60,0.16,0.06,3.61,0.46,0.9
J0407301,魚貝類,范氏副葉鰺,108,73.4,20.9,2.1,2.1,0,62,436,9,34,0,0.5,17,0.13,0.15,0.05,4.73,0.46,0.2
J0407401,魚貝類,泰勃圓鰺,113,72.8,22.8,1.7,1.4,0,62,385,5,31,2.9,0.8,30,1.03,0.24,0.41,7.25,0.59,0.7
J0407501,魚貝類,烏鯧,92,78.0,20.4,0.5,0,0,114,608,8,31,0.6,0.6,30,0.10,0.23,0.18,5.30,0.18,0.6
J0407601,魚貝類,無斑圓鰺,119,73.5,23.9,1.9,0,0,130,177,7,35,1.0,0.6,7,0.41,0.11,0.09,5.20,0.51,1.2
J0407701,魚貝類,藍圓鰺,114,73.3,24.0,1.3,0,0,57,390,12,36,1.3,1.0,10,0.37,0.17,0.22,8.22,0.47,0.3
J0407801,魚貝類,雙帶鰺,118,74.4,22.6,2.4,0,0,43,500,864,31,1.0,0.8,40,0.47,0.06,0.18,6.00,0.33,0.0
J0407901,魚貝類,眼眶魚,113,75.6,20.3,2.9,0.2,0,108,261,9,31,1.7,1.0,123,0.38,0.09,0.28,4.00,0.28,0.2
J0408001,魚貝類,斯氏長鰭烏魴,97,76.0,22.4,0.1,0,0,40,439,2,32,0.8,0.3,17,1.44,0.03,0.05,6.90,0.82,1.2
J0408101,魚貝類,史氏紅諧魚,97,77.5,21.1,0.7,0,0,75,392,11,31,0,0.5,8,0.52,0.05,0.09,4.93,0.62,0.3
J0408201,魚貝類,希氏姬鯛,91,77.0,21.1,0.1,0.5,0,57,433,3,31,2.0,0.4,13,0.55,0.10,0.21,4.95,0.39,0.8
J0408301,魚貝類,赤鰭笛鯛,88,78.8,20.4,0.1,0,0,91,404,12,32,0.4,0.4,7,0.39,0.02,0.03,4.20,0.31,0.0
J0408401,魚貝類,孟加拉笛鯛,87,78.7,19.8,0.3,0,0,62,345,30,223,1.0,0.5,7,0.66,0.02,0.06,2.51,0.20,0.8
J0408501,魚貝類,前鱗笛鯛,101,74.9,22.0,0.8,0.9,0,60,397,17,33,0,0.5,6,0.25,0.02,0.06,3.17,0.32,0.3
J0408601,魚貝類,馬拉巴笛鯛,86,79.2,20.2,0,0,0,96,436,5,32,0.7,0.4,7,0.07,0.03,0.04,3.90,0.63,0.8
J0408701,魚貝類,單斑笛鯛,106,76.8,20.7,1.9,0,0,45,416,4,33,0.5,0.4,10,0.71,0.04,0.05,3.50,0.34,1.4
J0408801,魚貝類,黃擬烏尾鮗,80,79.6,18.7,0.1,0.3,0,82,457,9,37,0.5,0.4,6,0.48,0.04,0.05,1.39,0.12,0.8
J0408901,魚貝類,葉唇笛鯛,118,77.1,19.9,3.7,0,0,75,302,91,30,0.2,0.5,32,0.77,0.05,0.12,1.69,0.17,0.9
J0409001,魚貝類,松鯛,98,78.2,18.2,2.3,0.1,0,76,401,5,27,0.5,0.5,17,0.22,0.11,0.07,2.10,0.14,1.3
J0409101,魚貝類,三線磯鱸,130,73.7,19.0,5.4,0.6,0,58,372,7,30,0.6,0.4,170,0.32,0.08,0.15,3.50,0.19,1.5
J0409201,魚貝類,星雞魚,99,76.7,20.6,1.2,0.4,0,73,428,6,29,0.7,0.5,63,0.95,0.02,0.07,5.04,0.36,6.2
J0409301,魚貝類,密點少棘胡椒鯛,94,78.4,19.5,1.2,0,0,74,426,4,28,0.4,0.5,33,0.66,0.03,0.08,3.70,1.30,4.0
J0409401,魚貝類,金線魚,119,76.3,20.9,3.3,0,0,103,329,21,31,0.2,0.3,43,0.64,0.05,0.04,2.50,0.18,0.8
J0409501,魚貝類,青嘴龍占魚,128,73.3,22.7,3.4,0,0,87,481,311,37,1.0,0.9,12,2.83,0.77,0.14,7.80,0.69,0.8
J0409601,魚貝類,網紋龍占魚,101,77.1,21.7,1.0,0,0,90,417,30,33,0.4,0.5,3,0.56,0.21,0.07,5.10,0.20,1.1
J0409701,魚貝類,平鯛,175,71.7,31.8,4.4,0,0,91,446,13,31,0.9,0.9,0,1.92,0.04,0.06,6.60,0.56,1.6
J0409801,魚貝類,阿部牙鯛,124,75.1,18.9,4.8,0,0,65,405,12,38,0.2,0.7,171,0.55,0,0.04,2.88,0.33,2.0
J04099,魚貝類,真鯛平均值(去皮),110,75.5,20.6,2.5,0.2,0,60,427,9,31,0.5,0.5,26,0.38,0.09,0.05,4.34,0.35,0.6
J0409901,魚貝類,真鯛(1月),100,76.3,20.1,1.6,0.7,0,54,380,11,32,0.6,1.2,9,0.37,0.05,0.06,3.27,0.13,0.5
J0409902,魚貝類,真鯛(3月),101,76.0,20.8,1.3,0.7,0,64,406,9,24,0.4,0.4,11,0.22,0.03,0.06,4.54,0.35,0.5
J0409903,魚貝類,真鯛(5月),87,78.9,20,0.1,0,0,64,442,10,34,0.8,0.4,6,0.35,0.35,0.06,5.95,0.27,0.5
J0409904,魚貝類,真鯛(8月),176,66.7,20.6,9.8,1.7,0,51,451,8,31,0.4,0.5,61,0.69,0.04,0.06,4.32,0.40,1.7
J0409905,魚貝類,真鯛(9月),92,78.1,21.6,0,0,0,60,425,7,33,0.2,0.3,50,0.24,0.02,0.04,4.50,0.67,0.1
J0409906,魚貝類,真鯛(11月),105,77.1,20.3,2.0,0,0,66,457,9,33,0.4,0.4,16,0.43,0.06,0.03,3.47,0.31,0.4
J0410001,魚貝類,黃鰭棘鯛,136,73.0,19.2,6.0,0.6,0,70,379,28,30,0.5,0.7,41,0.64,0.48,0.24,3.64,0.22,2.1
J0410101,魚貝類,黑棘鯛(去皮),136,72.4,20.3,5.5,0.6,0,46,466,9,25,1.0,0.9,37,0.87,0.09,0.15,4.02,0.26,2.2
J0410201,魚貝類,黑棘鯛(含皮),163,70.7,19.5,8.8,0,0,66,367,7,9,0.9,0.8,157,0.30,0.23,0.31,6.80,0.22,0.0
J0410301,魚貝類,多鱗四指馬鮁,146,72.8,19.0,7.2,0,0,69,373,19,32,0.6,0.7,26,1.85,0.07,0.10,2.13,0.17,0.5
J0410401,魚貝類,大黃魚,142,74.3,16.8,7.8,0.2,0,40,280,8,20,0.3,0.6,40,0.75,0.02,0.12,2.16,0.15,0.4
J0410501,魚貝類,小黃魚(去皮),100,77.7,20,1.6,0,0,92,257,11,11,0.2,0.5,27,0.65,0.05,0.09,2.60,0.50,2.0
J0410601,魚貝類,小黃魚(含皮),100,77.7,19.4,1.9,0,0,76,317,6,30,0.5,0.4,16,0.71,0.06,0.09,2.22,0.24,2.3
J0410701,魚貝類,白姑魚,97,78.2,18.8,1.8,0,0,85,332,33,33,0.5,0.7,37,0.24,0.06,0.09,1.70,0.12,0.0
J0410801,魚貝類,眼斑擬石首魚,95,77.0,19.7,1.2,0.9,0,71,428,13,27,0.8,0.6,7,0.25,0.47,0.10,4.10,0.39,0.5
J0410901,魚貝類,黃姑魚,89,79.8,19.4,0.7,0,0,71,375,55,34,0.5,0.5,11,0.50,0.06,0.19,2.98,0.18,1.6
J0411001,魚貝類,黑或(或字加魚邊),149,71.4,17.9,8.0,1.2,0,56,360,22,215,1.1,0.5,20,0.16,0.07,0.08,2.67,0.26,0.9
J0411101,魚貝類,鮸,104,76.7,23.3,0.5,0,0,52,406,11,31,0,0.7,12,0.39,0.09,0.10,3.98,0.35,0.7
J0411201,魚貝類,鱗鰭叫姑魚,99,77.4,18.4,2.3,0.3,0,78,341,80,33,0.6,0.5,27,0.22,0.06,0.12,0.80,0.05,0.0
J0411301,魚貝類,黑斑海緋鯉,97,79.1,18.8,1.8,0,0,55,447,4,32,0.6,0.3,27,1.09,0.01,0.07,2.00,0.19,0.0
J0411401,魚貝類,斑點雞籠鯧,97,79.0,21.9,0.4,0,0,71,401,9,227,1.6,0.9,15,0.16,0.02,0.08,4.67,0.39,4.1
J0411501,魚貝類,花身鯻,157,72.0,19.5,8.2,0,0,60,389,36,29,0.5,0.8,210,5.14,0.10,0.11,5.80,0.41,0.0
J0411601,魚貝類,花尾唇指翁(翁加魚邊),116,74.7,19.8,3.4,0.6,0,71,389,5,34,0.6,0.5,73,0.30,0.22,0.07,1.78,0.13,3.8
J0411701,魚貝類,尼羅口孵非鯽(去皮),113,76.3,20.4,2.9,0,0,62,372,68,35,0.7,0.9,0,0.83,0.03,0.04,3.37,0.28,0.2
J0411801,魚貝類,尼羅口孵非鯽(含皮),125,75.0,19.4,4.7,0,0,42,451,7,30,0.5,0.6,7,0.89,0.02,0.13,2.66,0.20,3.6
J0411901,魚貝類,花身副麗魚,112,76.1,17.7,4.1,1.1,0,49,336,14,32,0.4,1.3,12,1.56,0.30,0.05,1.80,0.12,2.7
J0412001,魚貝類,紅色吳郭魚,108,76.1,18.3,3.3,1.3,0,68,310,10,26,0,0.6,23,0.79,0.04,0.02,3.10,0.31,1.2
J0412002,魚貝類,台灣鯛魚片(生),110,74.8,18.2,3.6,2.5,0,46,341,14,27,0.2,0.9,6,1.01,0.03,0.04,3.00,0.25,1.1
J0412101,魚貝類,台灣鯛魚片(水煮),130,71.1,23.4,3.3,1.3,0,34,271,10,27,0.2,1.0,13,0.77,0.02,0.04,2.38,0.23,0.8
J0412102,魚貝類,台灣鯛魚片(油煎),162,66.8,23.1,6.9,1.9,0,67,435,31,35,0.2,1.1,28,2.07,0.03,0.05,3.58,0.25,1.1
J0412103,魚貝類,"台灣鯛魚片(烤,190℃,10分鐘)",111,74.4,19.7,3.0,1.8,0,48,365,10,28,0.4,0.9,14,0.72,0.04,0.05,2.97,0.26,0.9
J0412104,魚貝類,"台灣鯛魚片(烤,190℃,20分鐘)",134,69.8,23.0,4.0,2.1,0,54,411,15,33,0.3,1.0,18,0.72,0.04,0.05,3.45,0.26,1.3
J0412105,魚貝類,"台灣鯛魚片(烤,230℃,10分鐘)",127,72.1,21.3,4.0,1.5,0,50,396,11,30,0.5,0.9,13,0.81,0.04,0.05,3.24,0.26,1.0
J0412106,魚貝類,"台灣鯛魚片(烤,230℃,20分鐘)",142,67.4,24.6,4.1,2.5,0,65,454,12,34,0.3,0.9,7,1.17,0.04,0.05,3.54,0.25,1.1
J0412107,魚貝類,台灣鯛魚片(清蒸),112,74.2,19.3,3.3,2.2,0,59,357,9,28,0.4,1.0,10,0.93,0.02,0.04,3.32,0.23,1.1
J0412108,魚貝類,台灣鯛魚片(微波),140,68.6,24.9,3.7,1.4,0,85,458,12,35,0.4,0.9,5,1.03,0.06,0.06,3.62,0.26,0.9
J0412201,魚貝類,台灣鯛魚湯(水煮),5,98.6,0.9,0.2,0,0,13,88,1,3,0,0.2,7,0.04,0.01,0.02,0.77,0.02,0.1
J0412301,魚貝類,莫三比克口孵非鯽,112,77.3,19.5,3.2,0,0,91,344,31,31,0.2,1.2,6,0.85,0.01,0.09,3.00,0.17,1.9
J0412401,魚貝類,薔薇項鰭魚(去皮),96,79.9,17.3,2.4,0,0,138,137,40,32,0.3,0.5,42,0.09,0.02,0.02,1.74,0.12,0.4
J0412501,魚貝類,薔薇項鰭魚(含皮),93,78.6,17.9,1.8,0,0,126,183,260,52,1.1,0.5,73,0.28,0.02,0.06,4.30,0.09,0.0
J0412601,魚貝類,藍豬齒魚,81,79.7,18.5,0.2,0.2,0,65,457,5,35,0.2,0.4,47,0.38,0.01,0.03,1.30,0.19,0.5
J0412701,魚貝類,福氏鸚哥魚(去皮),84,78.8,19.6,0,0.2,0,86,485,7,32,0.5,0.4,5,0.19,0.01,0.03,3.29,0.28,0.5
J0412801,魚貝類,橫紋鸚哥魚(含皮),81,80.8,18.9,0,0,0,89,399,6,30,0.3,0.4,7,0.22,0.01,0.04,2.15,0.26,0.3
J0412901,魚貝類,藍點鸚哥魚,86,77.9,20.1,0.1,0.6,0,61,544,8,27,0.5,0.4,6,0.21,0.02,0.02,4.25,0.31,1.0
J0413001,魚貝類,金錢魚,196,66.7,19.3,12.6,0,0,70,398,267,290,1.3,1.1,69,1.83,0.08,0.14,4.42,0.40,0.0
J0413101,魚貝類,褐臭肚魚,164,69.4,19.9,8.8,0.6,0,52,434,19,259,1.0,0.7,200,0.32,0.25,0.14,6.22,0.47,0.8
J0413201,魚貝類,杜氏刺尾鯛,137,72.9,19.1,6.2,0.6,0,38,451,3,33,0.3,0.5,175,0.83,0.31,0.05,3.90,1.05,4.2
J0413301,魚貝類,後刺尾鯛,102,77.5,20.4,1.7,0,0,94,382,14,23,0,0.4,27,0.57,0.05,0.05,2.02,0.15,0.0
J0413401,魚貝類,鋸尾鯛,93,78.1,19.0,1.4,0.3,0,57,387,4,35,0.9,0.3,29,1.40,0.23,0.06,5.29,0.37,0.7
J0413501,魚貝類,大眼金梭魚,157,71.7,21.8,7.1,0,0,71,445,10,29,0.5,0.1,90,0.76,0.09,0.74,3.80,0.35,0.0
J0413601,魚貝類,鱗網帶鰆切片,272,60.5,17.3,22.0,0,0,84,268,5,21,0.8,0.8,3675,4.86,0.02,0.04,12.13,0.60,0.4
J0413701,魚貝類,鱗網帶鰆(含皮),263,62.5,18.0,20.7,0,0,31,286,2,29,0.4,0.5,8358,3.69,0.06,0.04,10,0.47,0.8
